23.178.112.210 - - [14/Mar/2025:07:53:04 +0000] "GET /.well-known/acme-challenge/fQy6nlNDUQJVqq19iB4-ur38tamsy0kFa5VhVX1RrTU HTTP/1.1" 200 118 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
18.142.160.156 - - [14/Mar/2025:07:53:05 +0000] "GET /.well-known/acme-challenge/fQy6nlNDUQJVqq19iB4-ur38tamsy0kFa5VhVX1RrTU HTTP/1.1" 200 118 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
13.50.251.119 - - [14/Mar/2025:07:53:05 +0000] "GET /.well-known/acme-challenge/fQy6nlNDUQJVqq19iB4-ur38tamsy0kFa5VhVX1RrTU HTTP/1.1" 200 118 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
34.223.255.237 - - [14/Mar/2025:07:53:05 +0000] "GET /.well-known/acme-challenge/fQy6nlNDUQJVqq19iB4-ur38tamsy0kFa5VhVX1RrTU HTTP/1.1" 200 118 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
52.14.253.38 - - [14/Mar/2025:07:53:05 +0000] "GET /.well-known/acme-challenge/fQy6nlNDUQJVqq19iB4-ur38tamsy0kFa5VhVX1RrTU HTTP/1.1" 200 118 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
38.154.214.178 - - [14/Mar/2025:07:53:09 +0000] "GET / HTTP/1.1" 426 16 "-" "Apache-HttpClient/5.1.4 (Java/11.0.18)" "-"
191.102.179.126 - - [14/Mar/2025:07:53:09 +0000] "HEAD / HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" "-"
38.154.214.198 - - [14/Mar/2025:07:53:11 +0000] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" "-"
38.154.214.198 - - [14/Mar/2025:07:53:12 +0000] "GET / HTTP/1.1" 426 16 "-" "Apache-HttpClient/5.1.4 (Java/11.0.18)" "-"
170.246.54.147 - - [14/Mar/2025:07:53:12 +0000] "GET / HTTP/1.1" 426 16 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" "-"
209.127.106.36 - - [14/Mar/2025:07:53:12 +0000] "HEAD / HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" "-"
